task          , ring_type, method_name   , mode , scene     , mae               , rmse              , mape              , pearson
resp_rr       , ring1    , inception_time, 5fold, all       ,  3.12             ,  4.05             , 20.0              , 0.26
resp_rr       , ring1    , inception_time, test , all       ,  3.08             ,  4.0              , 20.25             , 0.34
resp_rr       , ring1    , inception_time, test , motion    ,  4.97             ,  5.97             , 23.0              , 0.0
resp_rr       , ring1    , inception_time, test , stationary,  2.86             ,  3.7              , 19.93             , 0.28
resp_rr       , ring1    , mamba2        , 5fold, all       ,  4.105            ,  4.99             , 27.955            , 0.24000000000000002
resp_rr       , ring1    , mamba2        , 5fold, motion    ,  3.93             ,  4.99             , 20.68             , 0.31
resp_rr       , ring1    , mamba2        , 5fold, stationary,  4.22             ,  5.05             , 29.41             , 0.27
resp_rr       , ring1    , peak          , test , motion    ,  4.15             ,  5.41             , 19.88             , 0.3
resp_rr       , ring1    , peak          , test , stationary,  2.85             ,  3.94             , 18.22             , 0.44
resp_rr       , ring1    , peak          , test , unknown   ,  2.98             ,  4.12             , 18.39             , 0.5
resp_rr       , ring1    , resnet        , 5fold, all       ,  3.13             ,  4.06             , 20.13             , 0.28
resp_rr       , ring1    , resnet        , test , all       ,  3.1              ,  3.98             , 20.49             , 0.37
resp_rr       , ring1    , resnet        , test , motion    ,  4.78             ,  5.77             , 22.44             , 0.05
resp_rr       , ring1    , resnet        , test , stationary,  2.9              ,  3.71             , 20.27             , 0.31
resp_rr       , ring1    , transformer   , 5fold, all       ,  3.34             ,  4.31             , 21.31             , 0.05
resp_rr       , ring1    , transformer   , test , all       ,  3.3              ,  4.23             , 21.73             , 0.12
resp_rr       , ring1    , transformer   , test , motion    ,  5.38             ,  6.42             , 24.03             , 0.06
resp_rr       , ring1    , transformer   , test , stationary,  3.06             ,  3.89             , 21.46             , 0.07
resp_rr       , ring2    , fft           , test , motion    ,  6.45             ,  7.58             , 35.22             , 0.2
resp_rr       , ring2    , fft           , test , stationary,  4.93             ,  5.98             , 26.95             , 0.21
resp_rr       , ring2    , fft           , test , unknown   ,  4.96             ,  6.01             , 27.08             , 0.21
resp_rr       , ring2    , mamba2        , 5fold, all       ,  4.465            ,  5.235            , 30.33             , 0.29000000000000004
resp_rr       , ring2    , mamba2        , 5fold, motion    ,  4.49             ,  5.37             , 24.39             , 0.1
resp_rr       , ring2    , mamba2        , 5fold, stationary,  4.25             ,  5.04             , 29.19             , 0.29
resp_rr       , ring2    , peak          , test , motion    ,  4.9              ,  6.23             , 27.24             , 0.14
resp_rr       , ring2    , peak          , test , stationary,  3.72             ,  5.06             , 24.32             , 0.19
resp_rr       , ring2    , peak          , test , unknown   ,  3.84             ,  5.19             , 24.62             , 0.22
samsung_hr    , ring1    , fft           , test , motion    , 41.95             , 46.89             , 47.37             , 0.16
samsung_hr    , ring1    , fft           , test , stationary,  5.13             , 13.51             ,  5.92             , 0.64
samsung_hr    , ring1    , fft           , test , unknown   , 12.06             , 23.7              , 13.72             , 0.33
samsung_hr    , ring1    , inception_time, test , all       ,  8.0              , 12.8              , 10.47             , 0.58
samsung_hr    , ring1    , inception_time, test , motion    , 19.49             , 25.39             , 27.11             , 0.09
samsung_hr    , ring1    , inception_time, test , stationary,  5.34             ,  7.25             ,  6.62             , 0.84
samsung_hr    , ring1    , peak          , test , motion    , 22.52             , 31.14             , 38.62             , 0.08
samsung_hr    , ring1    , peak          , test , stationary, 18.1              , 26.1              , 23.07             , 0.4
samsung_hr    , ring1    , peak          , test , unknown   , 18.93             , 27.12             , 25.99             , 0.3
samsung_hr    , ring1    , resnet        , test , all       ,  6.19             , 11.13             ,  8.43             , 0.7
samsung_hr    , ring1    , resnet        , test , motion    , 18.29             , 23.9              , 27.11             , 0.02
samsung_hr    , ring1    , resnet        , test , stationary,  3.39             ,  4.49             ,  4.1              , 0.94
samsung_hr    , ring1    , transformer   , test , all       ,  8.44             , 12.6              , 10.9              , 0.61
samsung_hr    , ring1    , transformer   , test , motion    , 18.44             , 23.99             , 26.36             , 0.0
samsung_hr    , ring1    , transformer   , test , stationary,  6.13             ,  7.87             ,  7.31             , 0.83
samsung_hr    , ring2    , fft           , test , motion    , 40.88             , 46.47             , 44.51             , 0.08
samsung_hr    , ring2    , fft           , test , stationary, 14.82             , 26.28             , 16.45             , 0.05
samsung_hr    , ring2    , fft           , test , unknown   , 20.25             , 31.57             , 22.3              , 0.03
samsung_hr    , ring2    , inception_time, test , all       , 10.79             , 14.15             , 13.83             , 0.39
samsung_hr    , ring2    , inception_time, test , motion    , 17.63             , 22.71             , 23.52             , 0.01
samsung_hr    , ring2    , inception_time, test , stationary,  8.99             , 10.83             , 11.29             , 0.54
samsung_hr    , ring2    , peak          , test , motion    , 26.86             , 32.04             , 38.45             , 0.27
samsung_hr    , ring2    , peak          , test , stationary, 14.64             , 21.69             , 19.3              , 0.19
samsung_hr    , ring2    , peak          , test , unknown   , 17.18             , 24.21             , 23.29             , 0.07
samsung_hr    , ring2    , resnet        , test , all       ,  7.64             , 11.77             , 10.28             , 0.64
samsung_hr    , ring2    , resnet        , test , motion    , 15.57             , 21.22             , 21.71             , 0.27
samsung_hr    , ring2    , resnet        , test , stationary,  5.56             ,  7.53             ,  7.27             , 0.82
samsung_hr    , ring2    , transformer   , test , all       , 11.04             , 14.56             , 13.8              , 0.38
samsung_hr    , ring2    , transformer   , test , motion    , 17.2              , 23.16             , 22.42             , 0.19
samsung_hr    , ring2    , transformer   , test , stationary,  9.42             , 11.26             , 11.54             , 0.58
samsung_hr_com, ring1    , fft           , test , motion    , 38.51             , 44.59             , 56.51             , 0.38
samsung_hr_com, ring1    , fft           , test , stationary,  3.27             ,  4.25             ,  4.07             , 0.96
samsung_hr_com, ring1    , fft           , test , unknown   ,  9.9              , 19.72             , 13.94             , 0.56
samsung_hr_com, ring1    , peak          , test , motion    , 38.51             , 44.59             , 56.51             , 0.38
samsung_hr_com, ring1    , peak          , test , stationary,  3.27             ,  4.25             ,  4.07             , 0.96
samsung_hr_com, ring1    , peak          , test , unknown   ,  9.9              , 19.72             , 13.94             , 0.56
samsung_hr_com, ring2    , fft           , test , motion    , 36.03             , 42.64             , 49.17             , 0.41
samsung_hr_com, ring2    , fft           , test , stationary,  3.07             ,  4.0              ,  3.89             , 0.97
samsung_hr_com, ring2    , fft           , test , unknown   ,  9.94             , 19.78             , 13.32             , 0.61
